Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Hotel_number_reviews,Reviewer_number_reviews,Review_Score,Review,Review_Type
Scarsdale Scarsdale Place Kensington Kensington and Chelsea London W8 5SY UK,5/2/2017,8.1,Copthorne Tara Hotel London Kensington, United Kingdom ,7105,2,6.7, Expensive room rate that didn t include parking or breakfast Extra charges for guest parking are far too steep at 25 a night ,Bad_review
53 53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB UK,8/4/2016,7.1,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom ,1877,8,5.8, Bedroom in the basement No windows Very small room Next to noisy lift TV did not work Came to fix it day we checked out Bedroom directly beneath dining room Scraping chairs on wooden floor NOISY  Fabulous location as round the corner from where my daughter lives ,Bad_review
Pelai Pelai 28 Ciutat Vella 08002 Barcelona Spain,11/17/2016,8.6,Catalonia Ramblas 4 Sup, United Kingdom ,4276,2,6.3, Room ready for a makeover Location,Bad_review
3 3 Place du G n ral Koenig 17th arr 75017 Paris France,2/4/2016,7.1,Hyatt Regency Paris Etoile, United Kingdom ,3973,3,5.8, Firstly the lady at the check in desk was quite unfriendly she did not greet us She didn t prompt us to provide any check in information once I said would you like the booking reference she then sighed and said ok She asked for my card and passport and then gave me the room key Considering I have never been to this hotel before she did not advise what floor I was on or where the lifts were never mind wish me a pleasant stay I then asked her what floor she said 9 I asked if she had a map she simply said you have to go to concierge for a map It was not a friendly welcome and this lady made a bad impression on us for the hotel and our holiday Room was quite small for a twin room and beds were together so although we paid for twin it was just enough space for a double No kettle for tea or coffee no water bottles which for a 4 star hotel I would expect  Location is good down the road from Arc de Triomphe and close to metro ,Bad_review
Epping Epping Forest 30 Oak Hill London IG8 9NY UK,7/27/2016,7.5,Best Western PLUS Epping Forest, United Kingdom ,587,7,3.3, Not being able to park my vehicle due to the staff filling the car park with unpaying guest s being woken up at 10 30 please and then again at 1 15 an to move my vehicle Avoid at all costs  Nothing,Bad_review
1 1 3 Queens Garden Westminster Borough London W2 3BA UK,12/8/2016,7.7,The Park Grand London Paddington, Netherlands ,4380,4,6.3, Shower is small and floor is completely wet after taking shower Fresh linen tea maker,Bad_review
Girona Girona 158 Eixample 08037 Barcelona Spain,3/2/2017,9.0,Hotel Well and Come, United Kingdom ,1589,1,4.6, Overpriced no restaurant,Bad_review
150 150 Bayswater Road Kensington and Chelsea London W2 4RT UK,6/8/2016,8.4,DoubleTree by Hilton London Hyde Park, Switzerland ,2405,3,5.0, Limited breakfast choices and rude staff Maintenance issues and cleaning issues Staff training and service Hard pillows no gowns or slippers in room Manager promised recompense but did not follow through Location,Bad_review
Apollolaan Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,8/3/2017,8.2,Apollo Hotel Amsterdam, Canada ,2968,1,4.6, no closet in room hotel under construction no comfortable chair in room do seal on shower door water all over floor all glass bathroom no privacy long walk to public transportation  the canal view,Bad_review
Moll Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,8/28/2016,8.5,Eurostars Grand Marina Hotel GL, Saudi Arabia ,4559,14,5.4, The staff were not professional and I lost some of my items which were kept in the hotel laugage store Where the hotel is located,Bad_review
